species,count,n50_05,n50_20,n50_50,n50_80,n50_95,contig_count_05,contig_count_20,contig_count_50,contig_count_80,contig_count_95,l50_05,l50_20,l50_50,l50_80,l50_95,length_05,length_20,length_50,length_80,length_95
Pseudomonas syringae,219,22578.10,38206.00,54047.00,237280.00,433927.80,40.80,77.60,263.00,384.40,554.70,4.00,8.00,35.00,50.40,81.00,5776893.60,5910516.80,6130793.00,6256019.20,6462210.70
Pseudomonas viridiflava,9,49388.20,56941.00,140976.00,393521.40,445728.00,45.00,57.00,80.00,193.20,202.80,4.80,6.00,14.00,30.80,35.00,5627805.20,5785319.00,5881917.00,5917544.20,5964854.80
Rhizobium leguminosarum,146,101060.00,215579.00,286687.50,364236.00,550273.50,40.25,58.00,86.50,151.00,317.50,5.00,7.00,9.00,12.00,22.50,7109162.25,7370707.00,7558534.00,7811012.00,8166536.75
Rhodobacteraceae bacterium,2,506402.90,1006325.60,2006171.00,3006016.40,3505939.10,16.00,19.00,25.00,31.00,34.00,1.20,1.80,3.00,4.20,4.80,4240836.60,4704887.40,5632989.00,6561090.60,7025141.40
Rhodococcus hoagii,33,52040.80,264427.60,424688.00,508872.40,917894.00,27.40,35.20,41.00,60.60,220.80,3.00,4.00,4.00,7.00,33.40,5026301.00,5092014.00,5196662.00,5323298.60,5532684.40
Ruegeria conchae,168,234304.15,266301.20,364541.50,490296.00,723132.85,14.00,19.00,30.50,41.00,64.85,2.00,3.00,4.00,6.00,7.00,4137604.50,4231886.80,4403147.00,4690700.20,4940855.95
Salmonella enterica,7301,41908.00,126547.00,223309.00,393499.00,622507.00,29.00,47.00,73.00,126.00,308.00,3.00,5.00,7.00,12.00,34.00,4596672.00,4695750.00,4806058.00,4959174.00,5107620.00
Serratia marcescens,183,20695.20,61994.00,225526.00,505677.80,793195.10,20.00,39.40,116.00,353.40,980.10,2.00,3.00,8.00,31.00,80.00,5044858.00,5114529.60,5275146.00,5642591.40,6266897.80
Shigella boydii,76,13884.75,17183.00,21295.50,81908.00,151446.25,144.75,182.00,455.50,574.00,734.00,11.00,18.00,63.50,74.00,90.50,4231429.00,4295019.00,4484131.00,4835559.00,5209344.50
Shigella dysenteriae,22,11300.20,14792.40,20564.50,29855.40,131442.95,111.10,319.40,534.50,670.60,756.40,12.00,47.00,65.00,84.80,100.45,4075629.20,4233825.00,4420037.50,4625605.80,4812019.05
Shigella flexneri,252,20435.95,29391.60,29872.50,31917.00,134840.25,82.55,367.00,439.50,485.80,704.70,12.55,43.00,46.00,48.00,66.45,4354522.55,4517222.80,4604893.50,4684576.00,4836344.80
Shigella sonnei,149,19004.40,23399.20,70884.00,143267.20,196881.60,89.80,115.60,243.00,507.40,636.00,8.40,12.00,23.00,57.00,72.20,4484189.80,4572613.80,4767435.00,5008866.00,5293182.40
Sinorhizobium meliloti,162,26367.90,46688.40,66460.00,102405.20,133639.80,110.05,145.00,208.50,287.40,452.10,15.10,20.00,32.00,44.60,75.70,6568441.90,6745471.20,6865148.00,7100072.20,7285536.25
Staphylococcus aureus,3964,24300.10,73503.00,170244.00,329268.40,672271.45,17.00,29.00,52.00,113.00,286.85,2.00,3.00,6.00,12.00,34.00,2696014.45,2754871.40,2820973.00,2886820.40,2937730.05
Staphylococcus epidermidis,1897,39779.00,70592.60,93592.00,121098.00,186492.20,45.00,61.00,82.00,110.00,180.20,5.00,7.00,9.00,12.00,20.00,2411319.40,2446691.60,2485833.00,2535165.40,2624301.20
Staphylococcus haemolyticus,85,17759.60,32858.60,55013.00,89009.60,170218.00,40.40,77.00,113.00,188.60,314.60,4.00,8.80,14.00,23.20,42.80,2345516.40,2410759.80,2477092.00,2532893.40,2688402.00
Staphylococcus pseudintermedius,189,12718.60,43969.60,126510.00,151570.00,207967.80,31.40,40.00,79.00,347.40,700.20,4.40,6.00,8.00,20.40,61.20,2517625.40,2565359.40,2660157.00,2745406.80,2806443.80
Stenotrophomonas maltophilia,202,19856.20,48800.00,90407.00,195103.20,1251740.20,8.00,51.00,109.00,200.20,527.65,2.00,9.00,17.00,29.00,70.65,4152037.90,4354142.00,4571869.00,4798760.00,4936533.50
Streptococcus agalactiae,910,37015.20,78994.40,117262.50,181164.80,324136.40,18.00,24.00,37.00,61.00,113.00,3.00,4.00,6.00,9.00,19.55,1931050.90,2033099.80,2090914.50,2170689.20,2254075.05
Streptococcus equi,99,28175.30,40551.00,44000.00,53822.40,69144.30,62.90,76.00,125.00,142.00,173.80,9.00,14.00,17.00,18.00,23.10,2017884.70,2076403.40,2122230.00,2137487.40,2195562.90
Streptococcus mitis,107,32785.20,75081.40,138356.00,217374.40,489036.70,9.60,24.20,40.00,66.00,126.70,2.00,3.00,5.00,9.00,19.80,1868993.90,1943423.20,2002001.00,2056367.60,2134249.50
Streptococcus mutans,216,29271.75,38413.00,49728.50,167413.00,615986.00,12.75,36.00,98.00,128.00,143.50,2.00,4.00,14.00,17.00,20.00,1796988.50,1854930.00,1968635.00,2026999.00,2111524.50
Streptococcus pneumoniae,490,14986.30,37485.20,79464.50,336335.40,539785.65,9.00,13.00,70.00,173.40,429.60,2.00,3.00,8.00,19.00,41.55,1964585.80,2009039.00,2075876.50,2145253.00,2258199.10
Streptococcus pyogenes,349,74652.60,122646.00,183935.00,243618.00,1816228.40,2.00,17.00,26.00,45.40,169.60,1.00,2.00,4.00,5.00,9.00,1737638.00,1775618.80,1822867.00,1856594.00,1924707.80
Streptococcus suis,1023,32267.10,50872.80,85131.00,131206.60,181512.10,25.00,37.00,58.00,123.60,433.70,4.00,6.00,9.00,14.60,22.00,2004390.00,2068567.00,2165684.00,2322904.40,2487396.90
Turicibacter sanguinis,200,18650.00,55938.40,94205.00,106536.00,118811.00,51.00,55.00,69.00,121.00,341.20,9.00,10.00,11.00,17.00,41.00,2853077.75,2928948.20,3033652.00,3094440.40,3097804.10
Vibrio cholerae,843,47306.50,94625.20,176311.00,246645.00,375823.90,50.10,80.00,112.00,163.00,265.90,4.00,6.00,8.00,14.00,26.90,3884870.00,3949450.60,4014382.00,4060625.00,4184063.40
Vibrio parahaemolyticus,1258,15081.00,30857.40,197728.50,400904.20,548356.00,37.00,64.40,130.00,460.60,791.60,4.00,5.00,8.00,49.00,102.00,4932573.20,5028328.80,5091307.00,5186540.00,5375719.45
Vibrio vulnificus,144,52250.95,92943.20,186154.00,288039.40,510412.30,46.15,83.60,137.50,229.40,440.45,3.15,6.00,9.00,16.40,30.70,4744546.50,4864626.00,4954278.00,5107948.40,5284149.30
Xanthomonas campestris,1,83008.00,83008.00,83008.00,83008.00,83008.00,461.00,461.00,461.00,461.00,461.00,20.00,20.00,20.00,20.00,20.00,4855507.00,4855507.00,4855507.00,4855507.00,4855507.00
Xanthomonas citri,285,76417.00,167604.20,224343.00,240403.00,333133.20,67.00,101.00,145.00,311.80,1011.60,6.00,7.00,9.00,11.00,19.00,5137064.00,5192663.80,5232128.00,5387105.20,5538629.80
Xanthomonas oryzae,110,19644.75,20434.60,21198.50,22668.20,24833.70,400.90,413.80,433.00,466.20,493.30,54.70,60.00,63.00,66.20,70.00,4237492.30,4257562.80,4294352.50,4368849.40,4477867.05
Xanthomonas phaseoli,99,10575.20,40176.40,69452.00,83819.40,117329.40,122.90,138.00,154.00,288.40,679.90,15.00,19.00,23.00,41.60,136.10,4770094.90,4845348.20,4916323.00,5096855.40,5228762.40
Yersinia enterocolitica,18,63008.65,75193.40,178496.00,397639.40,786967.85,25.30,41.60,86.00,107.20,137.05,3.55,4.80,9.00,18.40,22.60,4267480.45,4455535.20,4546375.50,4753473.80,4784318.30
Yersinia pestis,376,6750.50,8934.00,22847.50,45758.00,52210.50,204.75,221.00,466.50,1074.00,1451.25,29.00,33.00,64.50,153.00,193.75,4333491.25,4449879.00,4569776.50,4623983.00,4734831.00
Yersinia pseudotuberculosis,12,34747.35,40053.40,57713.50,83768.80,132938.60,120.25,143.40,189.50,235.40,269.50,12.00,19.40,25.50,36.00,42.80,4541062.15,4590279.60,4686036.50,4753971.80,4810693.00
