Species	logn50	logcontigcount	logl50	logtotlen	logcoverage	gccontent
Citrobacter amalonaticus	5.6465	1.561	0.602	6.7044999999999995	1.861	0.533
Citrobacter braakii	5.771	1.6925	0.477	6.713	1.8535	0.52
Citrobacter freundii	5.199	2.14	1.041	6.724	2.0	0.518
Citrobacter koseri	6.538	0.845	0.0	6.689	2.0	0.537
Citrobacter portucalensis	5.216	2.045	1.041	6.729	2.121	0.517
Citrobacter werkmanii	5.631	1.477	0.602	6.705	1.897	0.521
Citromicrobium sp.	4.506	1.949	1.362	6.445	-1.0	0.643
Clavibacter michiganensis	5.153	1.74	0.903	6.517	2.0	0.727
Clostridia bacterium	4.157500000000001	2.319	1.6280000000000001	6.2715	1.146	0.475
Clostridiaceae bacterium	4.3405000000000005	2.3	1.519	6.3605	2.2955	0.4375
Clostridiales bacterium	4.2795	2.207	1.505	6.295	1.831	0.508
Clostridioides difficile	5.058	2.09	1.079	6.618	2.0	0.285
Clostridium beijerinckii	4.954	2.21	1.301	6.778	2.101	0.296
Clostridium botulinum	5.086	1.929	1.0	6.59	1.301	0.28
Clostridium butyricum	4.964	2.09	1.204	6.662	2.0	0.285
Clostridium perfringens	5.1475	1.845	0.903	6.529	2.0	0.281
Clostridium saccharobutylicum	5.023	1.919	1.041	6.698	2.135	0.284
Clostridium sp.	4.1715	2.4385000000000003	1.736	6.394500000000001	1.8805	0.45799999999999996
Clostridium sporogenes	5.1615	1.9685000000000001	1.0	6.613	1.301	0.279
Clostridium tetani	5.34	1.633	0.699	6.453	2.0	0.285
Collinsella aerofaciens	4.869	1.732	1.0	6.341	2.0	0.6
Collinsella sp.	4.368	2.127	1.398	6.29	1.169	0.603
Comamonadaceae bacterium	4.267	2.386	1.756	6.524	1.322	0.664
Comamonas thiooxydans	5.236000000000001	2.0025	0.9285	6.7305	2.2359999999999998	0.6114999999999999
Coprococcus comes	5.048500000000001	1.947	1.0	6.5115	2.0	0.427
Coprococcus eutactus	4.9145	1.796	1.0499999999999998	6.435499999999999	1.2305000000000001	0.441
Corallococcus exiguus	4.407500000000001	2.9405	2.088	7.0205	1.7850000000000001	0.695
Coriobacteriaceae bacterium	4.095	2.276	1.58	6.256	1.205	0.621
Coriobacteriia bacterium	4.3475	2.1505	1.447	6.2215	1.178	0.5655
Corynebacterium amycolatum	5.063	1.732	0.903	6.397	1.548	0.588
Corynebacterium aurimucosum	5.1165	1.774	0.903	6.435499999999999	2.7285000000000004	0.61
Corynebacterium belfantii	5.0825	1.6715	0.845	6.38	1.667	0.536
Corynebacterium bovis	4.169	2.453	1.69	6.402	1.937	0.726
Corynebacterium diphtheriae	5.13	1.633	0.778	6.387	1.924	0.535
Corynebacterium glutamicum	5.3125	1.562	0.778	6.5135000000000005	2.301	0.54
Corynebacterium pseudotuberculosis	6.087	0.602	0.1505	6.373	2.431	0.521
Corynebacterium striatum	5.246	1.613	0.778	6.454	2.161	0.593
Corynebacterium ulcerans	5.468500000000001	1.29	0.5395	6.3995	2.002	0.534
Corynespora cassiicola	4.739	3.777	2.358	7.63	1.568	0.517
Coxiella burnetii	4.888	1.778	0.903	6.302	2.072	0.425
Crenarchaeota archaeon	4.4	2.056	1.2690000000000001	6.226	1.699	0.393
Crocinitomicaceae bacterium	4.466	1.845	1.279	6.292	-1.0	0.372
Cronobacter dublinensis	5.397	2.021	0.778	6.661	2.0	0.58
Cronobacter malonaticus	5.035	2.068	1.146	6.647	2.0	0.57
Cronobacter sakazakii	5.408	1.748	0.778	6.653	1.699	0.568
Cryomorphaceae bacterium	4.4075	2.1685	1.4765000000000001	6.2275	1.29	0.433
Cryptococcus neoformans	5.21	2.715	1.544	7.267	2.253	0.482
Cutibacterium acnes	5.7940000000000005	0.954	0.301	6.402	1.778	0.601
Cutibacterium avidum	5.4545	1.545	0.5395	6.4045000000000005	1.79	0.634
Cyclobacteriaceae bacterium	3.939	2.605	2.037	6.482	1.153	0.438
Cylindrospermopsis raciborskii	5.015	2.093	1.0775000000000001	6.548500000000001	1.081	0.401
Cytophagales bacterium	4.035	2.576	1.944	6.479	1.0	0.437
Cytophagia bacterium	4.2305	2.5355	1.7785	6.281499999999999	1.1055000000000001	0.4045
Defluviitaleaceae bacterium	4.3355	2.2345	1.562	6.355499999999999	1.2425	0.4635
Dehalococcoidales bacterium	4.109	2.033	1.462	6.114	0.903	0.483
Dehalococcoides mccartyi	5.551	1.283	0.301	6.1545000000000005	1.946	0.472
Dehalococcoidia bacterium	4.1899999999999995	2.068	1.462	6.1585	1.0	0.544
Deltaproteobacteria bacterium	3.915	2.515	1.934	6.397	1.156	0.535
Desulfobacteraceae bacterium	3.8449999999999998	2.615	2.0309999999999997	6.4645	1.1875	0.497
Desulfobacterales bacterium	3.663	2.637	2.134	6.386	1.108	0.472
Desulfobulbaceae bacterium	3.941	2.553	1.973	6.408	1.0	0.519
Desulfobulbus sp.	3.961	2.49	1.881	6.422	1.301	0.526
Desulfonatronospira sp.	3.885	2.401	1.813	6.303	1.06	0.519
Desulfovibrio sp.	4.003	2.201	1.732	6.41	1.2429999999999999	0.6335
Desulfovibrionaceae bacterium	3.904	2.529	1.949	6.324	1.08	0.585
