Species	logn50	logcontigcount	logl50	logtotlen	logcoverage	gccontent
Acholeplasma laidlawii	5.578	1.079	0.301	6.173	1.574	0.318	
Acholeplasmataceae bacterium	4.1465	2.1885000000000003	1.4209999999999998	6.132	2.1925	0.34600000000000003	
Achromobacter ruhlandii	5.132	1.954	1.176	6.818	2.1	0.677	
Achromobacter xylosoxidans	5.054	2.114	1.2425	6.8165	1.9755	0.6759999999999999	
Acidiferrobacteraceae bacterium	4.4	2.0	1.38	6.334	-1.0	0.528	
Acidilobales archaeon	3.574	2.35	1.845	6.029	0.867	0.376	
Acidimicrobiaceae bacterium	4.560499999999999	1.8325	1.204	6.283	-1.0	0.5309999999999999	
Acidimicrobiales bacterium	3.995	2.5460000000000003	1.955	6.448	1.1955	0.636	
Acidimicrobiia bacterium	3.7584999999999997	2.615	2.027	6.3285	1.0	0.623	
Acidithiobacillus thiooxidans	4.5125	2.5145	1.591	6.5825	1.91	0.531	
Acidobacteriaceae bacterium	4.373	2.504	1.806	6.583	0.918	0.596	
Acinetobacter bereziniae	4.827999999999999	2.3085	1.29	6.66	1.6425	0.3795	
Acinetobacter calcoaceticus	5.566000000000001	1.5375	0.477	6.5915	1.7985	0.386	
Acinetobacter haemolyticus	4.6615	2.2515	1.398	6.54	1.9135	0.395	
Acinetobacter indicus	4.9755	1.9565000000000001	0.977	6.48	1.9769999999999999	0.457	
Acinetobacter johnsonii	4.852	2.09	1.176	6.556	1.845	0.414	
Acinetobacter junii	4.66	2.354	1.38	6.529	1.898	0.387	
Acinetobacter lactucae	4.969	2.09	1.176	6.587	1.776	0.38799999999999996	
Acinetobacter nosocomialis	4.976	2.066	1.0965	6.6	1.857	0.387	
Acinetobacter oleivorans	5.127	2.427	0.954	6.615	1.908	0.38799999999999996	
Acinetobacter radioresistens	4.994	2.009	1.0	6.51	1.813	0.415	
Acinetobacter seifertii	4.805	2.286	1.2885	6.598000000000001	1.79	0.386	
Acinetobacter soli	4.958	2.117	1.1275	6.5405	1.8359999999999999	0.4285	
Acinetobacter sp.	4.484999999999999	2.2145	1.4905	6.5365	0.0	0.406	
Acinetobacter ursingii	4.916	2.188	1.114	6.544	1.653	0.401	
Actinobacillus pleuropneumoniae	4.927	1.728	0.954	6.355	1.8359999999999999	0.41200000000000003	
Actinomycetales bacterium	4.012	2.459	1.839	6.377	1.764	0.6970000000000001	
